verh;f_p;begin_slice;end_slice; p_n;   p_n+k;    m(S);    e(S);  #(S<F);    f(S);f(S)-3m(S);   stable;    u(S); fne(S);   sum(A)
1.1224523374;18.00172757748;5002;5553;48623;54577;48623;553;426182;875298;729429;         ;54577;875298;23019489644
1.1225346030;18.00172757748;5002;5554;48623;54581;48623;554;426567;875298;729429;         ;54581;875298;23000769789
1.1225757358;18.00172757748;5002;5555;48623;54583;48623;555;426777;875298;729429;         ;54583;875298;22990558959
1.1229459309;18.00172757748;5002;5556;48623;54601;48623;556;427731;875298;729429;         ;54601;875298;22944172617
1.1232749933;18.00172757748;5002;5557;48623;54617;48623;557;428780;875298;729429;         ;54617;875298;22893167090
1.1233983917;18.00172757748;5002;5558;48623;54623;48623;558;429323;875298;729429;         ;54623;875298;22866764801
1.1235217901;18.00172757748;5002;5559;48623;54629;48623;559;429699;875298;729429;         ;54629;875298;22848482553
1.1235629229;18.00172757748;5002;5560;48623;54631;48623;560;430024;875298;729429;         ;54631;875298;22832680078
1.1238919853;18.00172757748;5002;5561;48623;54647;48623;561;430915;875298;729429;         ;54647;875298;22789356985
1.1243033132;18.00172757748;5002;5562;48623;54667;48623;562;432117;875298;729429;         ;54667;875298;22730912139
1.1244267116;18.00172757748;5002;5563;48623;54673;48623;563;432670;875298;729429;         ;54673;875298;22704023620
1.1245501100;18.00172757748;5002;5564;48623;54679;48623;564;433047;875298;729429;         ;54679;875298;22685692749
1.1251671020;18.00172757748;5002;5565;48623;54709;48623;565;434696;875298;729429;         ;54709;875298;22605513422
1.1252493676;17.00172757748;5002;5566;48623;54713;48623;566;386709;826675;680806;         ;54713;778052;22574589194
1.1254138988;17.00172757748;5002;5567;48623;54721;48623;567;387161;826675;680806;         ;54721;778052;22552611598
1.1255372972;17.00172757748;5002;5568;48623;54727;48623;568;387597;826675;680806;         ;54727;778052;22531411970
1.1260308907;17.00172757748;5002;5569;48623;54751;48623;569;388703;826675;680806;         ;54751;778052;22477634932
1.1263599531;17.00172757748;5002;5570;48623;54767;48623;570;389690;826675;680806;         ;54767;778052;22429644031
1.1264833515;17.00172757748;5002;5571;48623;54773;48623;571;390254;826675;680806;         ;54773;778052;22402220659
1.1266067499;17.00172757748;5002;5572;48623;54779;48623;572;390599;826675;680806;         ;54779;778052;22385445724
1.1267712811;17.00172757748;5002;5573;48623;54787;48623;573;391162;826675;680806;         ;54787;778052;22358070975
1.1270180779;17.00172757748;5002;5574;48623;54799;48623;574;391788;826675;680806;         ;54799;778052;22327632977
1.1276350698;17.00172757748;5002;5575;48623;54829;48623;575;393283;826675;680806;         ;54829;778052;22254941592
1.1277173354;17.00172757748;5002;5576;48623;54833;48623;576;393813;826675;680806;         ;54833;778052;22229171402
1.1280875306;17.00172757748;5002;5577;48623;54851;48623;577;394747;826675;680806;         ;54851;778052;22183757520
1.1284577258;17.00172757748;5002;5578;48623;54869;48623;578;395665;826675;680806;         ;54869;778052;22139121606
